[2025-11-08 20:21:12] [INFO    ] discord.client: logging in using static token
[2025-11-08 20:21:12] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-11-08 20:21:12] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-11-08 20:21:12] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '824698678367354890', 'username': 'Wolf_LG Company manager', 'avatar': 'f43afa6ece606008b025686af19b5f71', 'discriminator': '2691', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-11-08 20:21:13] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-11-08 20:21:13] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-11-08 20:21:13] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '824698678367354890', 'name': 'Wolf_LG Company manager', 'icon': 'a23ec88ff2c2f5f48cc24113cd7d3067', 'description': 'Soy el bot de exclusivo de este servidor', 'type': None, 'bot': {'id': '824698678367354890', 'username': 'Wolf_LG Company manager', 'avatar': 'f43afa6ece606008b025686af19b5f71', 'discriminator': '2691', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': False, 'bot_require_code_grant': False, 'integration_types_config': {'0': {}}, 'verify_key': 'b035671bea48e974e9c973aae478d4ca1052f9d8fbdfbb6f9043444c2ee0c541', 'flags': 565248, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '515676901696864260', 'username': 'wlflg', 'avatar': '4b5e967d844c8cdbb953b8c05ca1de31', 'discriminator': '0', 'public_flags': 128, 'flags': 128, 'banner': None, 'accent_color': 0, 'global_name': '愛 WLF ▄︻デ══━一💥', 'avatar_decoration_data': {'asset': 'a_d3ccd01c8959da0b041bf48732d01184', 'sku_id': '1423010468762484827', 'expires_at': 1765929600}, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#000000', 'clan': {'identity_guild_id': '362604996380065794', 'identity_enabled': True, 'tag': 'FF15', 'badge': 'd8b6e73a4f3a64af80293638b5dbdc67'}, 'primary_guild': {'identity_guild_id': '362604996380065794', 'identity_enabled': True, 'tag': 'FF15', 'badge': 'd8b6e73a4f3a64af80293638b5dbdc67'}}, 'approximate_guild_count': 2, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': False, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2244, 'monetization_state': 1, 'verification_eligibility_flags': 123676, 'monetization_eligibility_flags': 247524, 'bot_approximate_guild_count': 2, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-11-08 20:21:13] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-11-08 20:21:13] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-c-gmvv",{"micros":0.0}]']}}
[2025-11-08 20:21:13] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-11-08 20:21:13] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-11-08 20:21:13] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Wolf_LG Company manager', 'primary_guild': None, 'mfa_enabled': True, 'id': '824698678367354890', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '2691', 'clan': None, 'bot': True, 'avatar': 'f43afa6ece606008b025686af19b5f71'}, 'session_type': 'normal', 'session_id': 'ac0ad66c81d5a39f2aa06149b46db76e', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '730081570446114917'}, {'unavailable': True, 'id': '929889636489240597'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['santiago', 'buenos-aires', 'brazil', 'atlanta', 'us-south'], 'game_relationships': [], 'auth': {}, 'application': {'id': '824698678367354890', 'flags': 565248}, '_trace': ['["gateway-prd-arm-us-east1-c-gmvv",{"micros":121777,"calls":["id_created",{"micros":440,"calls":[]},"session_lookup_time",{"micros":1124,"calls":[]},"session_lookup_finished",{"micros":10,"calls":[]},"discord-sessions-prd-2-14",{"micros":119771,"calls":["start_session",{"micros":104279,"calls":["discord-api-prd-canary-rpc-5f7b694d5f-m27st",{"micros":38362,"calls":["get_user",{"micros":5292},"get_guilds",{"micros":5210},"send_scheduled_deletion_message",{"micros":15},"guild_join_requests",{"micros":3},"authorized_ip_coro",{"micros":12},"pending_payments",{"micros":55298},"apex_experiments",{"micros":4000},"user_activities",{"micros":6},"played_application_ids",{"micros":4},"linked_users",{"micros":3}]}]},"starting_guild_connect",{"micros":27,"calls":[]},"presence_started",{"micros":1712,"calls":[]},"guilds_started",{"micros":77,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":13608,"calls":[]},"connect_finished",{"micros":13656,"calls":[]},"build_ready",{"micros":17,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-11-08 20:21:13] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-08 20:21:13] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: ac0ad66c81d5a39f2aa06149b46db76e).
[2025-11-08 20:21:13] [DEBUG   ] discord.client: Dispatching event connect
